preset,model,layout,transform,method,initial_mean,final_mean,sd_mean,initial_high,final_high,final_bad,final_middle,final_best16
bell,independent,quality,identity,rloo,0.5000000000000001,0.5235509380354695,0.00015465353451699353,0.0057925738750420844,0.005875342934052525,0.056692314141202765,0.9374323429247445,0.7701483574684449
bell,independent,quality,identity,grpo,0.5000000000000001,0.6475062748500579,0.010211593305755719,0.0057925738750420844,0.0030676649006809043,0.016657090587311005,0.9802752445120082,0.7673178521377236
bell,independent,quality,identity,maxrl,0.5000000000000001,0.7490935869471823,0.03947434674222781,0.0057925738750420844,0.6274126361749439,0.03585420788928447,0.33673315593577174,0.9022362561013569
bell,independent,quality,identity,tailrl,0.5000000000000001,0.5673412078603853,0.0007977991189572142,0.0057925738750420844,0.00852959050927,0.055327287676301205,0.9361431218144288,0.8068460701323206
bell,independent,quality,identity,pkpo,0.5000000000000001,0.5202717260698075,0.00026052484429677896,0.0057925738750420844,0.006686405368638375,0.0666269847574401,0.9266866098739216,0.7814346044021191
bell,independent,quality,identity,elite,0.5000000000000001,0.6910885679061339,0.012510207573528087,0.0057925738750420844,0.0014002702186710371,0.01119682211060855,0.9874029076707206,0.7392145792722008
bell,independent,quality,log,rloo,0.5000000000000001,0.5168841306422847,0.00004794098164253831,0.0057925738750420844,0.005755509685518652,0.05705744149124176,0.9371870488232398,0.7665692360289814
bell,independent,quality,log,grpo,0.5000000000000001,0.6353825879973075,0.003847944742367107,0.0057925738750420844,0.003016849394570897,0.01603593459092118,0.980947216014508,0.7609212780294957
bell,independent,quality,log,maxrl,0.5000000000000001,0.7490935869471823,0.03947434674222781,0.0057925738750420844,0.6274126361749439,0.03585420788928447,0.33673315593577174,0.9022362561013569
bell,independent,quality,log,tailrl,0.5000000000000001,0.542143024983021,0.00017467019107598707,0.0057925738750420844,0.006809481299768949,0.0564031810427841,0.9367873376574468,0.7880103102310274
bell,independent,quality,log,pkpo,0.5000000000000001,0.5121621339574811,0.00012561507332565266,0.0057925738750420844,0.0062601821554001515,0.06613500077855135,0.9276048170660482,0.7733587545581261
bell,independent,quality,log,elite,0.5000000000000001,0.6910885679061339,0.012510207573528087,0.0057925738750420844,0.0014002702186710371,0.01119682211060855,0.9874029076707206,0.7392145792722008
bell,independent,quality,square,rloo,0.5000000000000001,0.5244442168038829,0.0002197385079885937,0.0057925738750420844,0.00608005179607467,0.05929549689097178,0.9346244513129536,0.7732611159735082
bell,independent,quality,square,grpo,0.5000000000000001,0.6630987678677154,0.006454411388680349,0.0057925738750420844,0.0028741909644969463,0.016036124579989163,0.981089684455514,0.7689726693789344
bell,independent,quality,square,maxrl,0.5000000000000001,0.7490935869471823,0.03947434674222781,0.0057925738750420844,0.6274126361749439,0.03585420788928447,0.33673315593577174,0.9022362561013569
bell,independent,quality,square,tailrl,0.5000000000000001,0.5863022882871026,0.000522397074129201,0.0057925738750420844,0.010761053430776156,0.05739614912290248,0.9318427974463214,0.82636544182752
bell,independent,quality,square,pkpo,0.5000000000000001,0.5255664943433401,0.000378145659511512,0.0057925738750420844,0.007147610693223652,0.06742735873687762,0.9254250305698988,0.7884123039308873
bell,independent,quality,square,elite,0.5000000000000001,0.6910885679061339,0.012510207573528087,0.0057925738750420844,0.0014002702186710371,0.01119682211060855,0.9874029076707206,0.7392145792722008
bell,independent,quality,ranknormal,rloo,0.5000000000000001,0.6657249133855722,0.002246665732096138,0.0057925738750420844,0.0029888075868582304,0.017492467125696007,0.9795187252874458,0.772994793051109
bell,independent,quality,ranknormal,grpo,0.5000000000000001,0.6699412621597126,0.0024512631463360075,0.0057925738750420844,0.002751945678820361,0.015973513848064076,0.9812745404731155,0.7697481012930772
bell,independent,quality,ranknormal,maxrl,0.5000000000000001,0.7490935869471823,0.03947434674222781,0.0057925738750420844,0.6274126361749439,0.03585420788928447,0.33673315593577174,0.9022362561013569
bell,independent,quality,ranknormal,tailrl,0.5000000000000001,0.8119709966565738,0.042154484549324585,0.0057925738750420844,0.004672285969131826,0.007040048829803809,0.9882876652010643,0.8428901308239674
bell,independent,quality,ranknormal,pkpo,0.5000000000000001,0.6653009114444205,0.015522518813666092,0.0057925738750420844,0.008533412203782167,0.04426967309729037,0.9471969146989275,0.8359492205373292
bell,independent,quality,ranknormal,elite,0.5000000000000001,0.6910885679061339,0.012510207573528087,0.0057925738750420844,0.0014002702186710371,0.01119682211060855,0.9874029076707206,0.7392145792722008
bell,independent,quality,reciprocal,rloo,0.5000000000000001,0.49207994194526455,0.000029876026878822186,0.0057925738750420844,0.005843814573043238,0.07168950894811953,0.9224666764788371,0.7612806040429051
bell,independent,quality,reciprocal,grpo,0.5000000000000001,0.31823555979060386,0.025591205766458822,0.0057925738750420844,0.002623824646152267,0.5306257695986475,0.4667504057552003,0.622449089181754
bell,independent,quality,reciprocal,maxrl,0.5000000000000001,0.7490935869471823,0.03947434674222781,0.0057925738750420844,0.6274126361749439,0.03585420788928447,0.33673315593577174,0.9022362561013569
